iter	Passed	Remaining
0	176	176646
1	185	92583
2	192	64093
3	200	50025
4	207	41351
5	214	35573
6	222	31533
7	229	28440
8	239	26422
9	246	24450
10	254	22918
11	261	21571
12	270	20534
13	277	19555
14	286	18833
15	293	18072
16	301	17458
17	308	16852
18	317	16373
19	324	15889
20	332	15504
21	339	15096
22	347	14757
23	354	14413
24	362	14151
25	369	13853
26	379	13692
27	393	13655
28	415	13927
29	425	13772
30	436	13641
31	446	13496
32	452	13270
33	463	13167
34	473	13051
35	485	12988
36	500	13018
37	511	12955
38	529	13035
39	542	13025
40	551	12892
41	558	12739
42	566	12605
43	573	12471
44	581	12339
45	588	12207
46	596	12086
47	603	11971
48	610	11855
49	617	11733
50	628	11699
51	639	11667
52	646	11557
53	657	11517
54	666	11445
55	674	11370
56	681	11272
57	690	11215
58	697	11120
59	704	11043
60	711	10956
61	720	10905
62	727	10820
63	734	10748
64	742	10681
65	749	10604
66	757	10550
67	764	10477
68	775	10458
69	785	10437
70	792	10366
71	802	10339
72	810	10286
73	818	10239
74	825	10179
75	834	10146
76	841	10089
77	849	10035
78	859	10020
79	870	10009
80	878	9963
81	887	9940
82	894	9883
83	902	9843
84	909	9790
85	918	9760
86	925	9711
87	934	9684
88	943	9657
89	953	9641
90	960	9593
91	968	9557
92	975	9512
93	983	9475
94	989	9430
95	999	9411
96	1011	9419
97	1023	9424
98	1043	9493
99	1056	9507
100	1066	9495
101	1077	9484
102	1085	9452
103	1092	9410
104	1100	9378
105	1107	9337
106	1115	9305
107	1122	9269
108	1132	9253
109	1142	9240
110	1151	9218
111	1159	9196
112	1174	9220
113	1189	9243
114	1201	9243
115	1210	9222
116	1221	9222
117	1235	9233
118	1252	9276
119	1262	9257
120	1269	9220
121	1277	9191
122	1284	9155
123	1291	9120
124	1298	9086
125	1304	9050
126	1315	9045
127	1330	9066
128	1346	9088
129	1356	9075
130	1366	9066
131	1376	9052
132	1383	9018
133	1390	8985
134	1397	8955
135	1404	8922
136	1411	8894
137	1418	8863
138	1427	8840
139	1434	8810
140	1442	8789
141	1449	8758
142	1457	8732
143	1464	8703
144	1471	8674
145	1481	8664
146	1488	8635
147	1501	8644
148	1513	8641
149	1523	8631
150	1534	8626
151	1548	8641
152	1562	8647
153	1575	8652
154	1592	8679
155	1610	8714
156	1624	8723
157	1647	8778
158	1693	8956
159	1727	9066
160	1747	9105
161	1767	9140
162	1775	9117
163	1782	9087
164	1794	9079
165	1801	9048
166	1808	9022
167	1815	8990
168	1824	8970
169	1831	8939
170	1840	8923
171	1847	8896
172	1856	8873
173	1863	8844
174	1871	8821
175	1878	8792
176	1886	8770
177	1893	8742
178	1901	8719
179	1908	8692
180	1915	8665
181	1923	8645
182	1930	8617
183	1938	8595
184	1945	8568
185	1953	8547
186	1959	8521
187	1967	8499
188	1974	8472
189	1982	8450
190	1988	8423
191	1995	8397
192	2005	8384
193	2011	8358
194	2020	8341
195	2027	8316
196	2035	8294
197	2041	8270
198	2054	8270
199	2061	8247
200	2069	8226
201	2076	8202
202	2083	8181
203	2091	8159
204	2098	8139
205	2105	8116
206	2114	8100
207	2121	8077
208	2128	8055
209	2135	8033
210	2142	8011
211	2150	7993
212	2157	7970
213	2164	7950
214	2171	7928
215	2179	7909
216	2186	7890
217	2193	7868
218	2202	7854
219	2209	7832
220	2218	7820
221	2226	7801
222	2233	7782
223	2240	7761
224	2248	7745
225	2255	7725
226	2263	7709
227	2270	7687
228	2278	7670
229	2285	7649
230	2293	7634
231	2301	7618
232	2308	7599
233	2315	7579
234	2322	7560
235	2329	7541
236	2336	7523
237	2344	7507
238	2353	7493
239	2363	7483
240	2370	7466
241	2381	7460
242	2389	7442
243	2397	7428
244	2404	7410
245	2413	7396
246	2419	7377
247	2427	7362
248	2434	7342
249	2442	7328
250	2449	7310
251	2459	7300
252	2466	7283
253	2475	7269
254	2481	7250
255	2490	7236
256	2496	7218
257	2504	7203
258	2512	7187
259	2518	7168
260	2526	7153
261	2533	7135
262	2541	7121
263	2548	7104
264	2557	7092
265	2565	7079
266	2573	7064
267	2580	7047
268	2590	7038
269	2597	7021
270	2606	7010
271	2613	6993
272	2621	6980
273	2627	6962
274	2634	6945
275	2642	6931
276	2649	6915
277	2657	6901
278	2663	6884
279	2671	6870
280	2678	6853
281	2686	6839
282	2693	6824
283	2700	6808
284	2707	6793
285	2715	6780
286	2725	6770
287	2732	6756
288	2740	6741
289	2747	6726
290	2755	6713
291	2762	6698
292	2774	6694
293	2789	6698
294	2801	6695
295	2817	6701
296	2829	6696
297	2840	6691
298	2848	6678
299	2864	6684
300	2872	6671
301	2883	6663
302	2891	6650
303	2900	6641
304	2908	6626
305	2916	6614
306	2923	6599
307	2931	6587
308	2938	6571
309	2946	6558
310	2953	6542
311	2960	6527
312	2967	6513
313	2974	6498
314	2983	6486
315	2989	6471
316	2999	6461
317	3006	6446
318	3013	6433
319	3020	6418
320	3030	6409
321	3036	6393
322	3045	6382
323	3052	6368
324	3059	6354
325	3068	6343
326	3077	6333
327	3084	6319
328	3091	6304
329	3098	6291
330	3105	6276
331	3114	6265
332	3121	6252
333	3129	6240
334	3136	6226
335	3146	6218
336	3156	6210
337	3168	6205
338	3177	6196
339	3187	6187
340	3196	6177
341	3203	6163
342	3213	6155
343	3221	6143
344	3236	6145
345	3249	6142
346	3259	6133
347	3270	6126
348	3285	6128
349	3296	6122
350	3304	6109
351	3313	6099
352	3320	6085
353	3333	6082
354	3342	6073
355	3349	6059
356	3357	6047
357	3365	6034
358	3376	6028
359	3386	6019
360	3397	6013
361	3405	6002
362	3414	5992
363	3425	5984
364	3432	5971
365	3441	5962
366	3448	5948
367	3457	5938
368	3464	5924
369	3474	5915
370	3483	5906
371	3493	5898
372	3501	5885
373	3512	5879
374	3521	5869
375	3530	5859
376	3541	5852
377	3548	5839
378	3558	5830
379	3564	5816
380	3576	5811
381	3587	5803
382	3594	5790
383	3605	5783
384	3612	5771
385	3622	5762
386	3629	5749
387	3641	5743
388	3648	5731
